CUSTID,COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
1,zero,31953,0,6,313378,161,0,4,unsat,little,no,STAY
2,one,36147,0,13,800586,244,0,6,unsat,little,considering,STAY
3,one,27273,230,0,305049,201,16,15,unsat,very_little,perhaps,STAY
5,one,29215,208,85,224784,241,21,1,very_unsat,little,never_thought,STAY
6,zero,133728,64,48,632969,626,3,2,unsat,high,no,STAY
7,zero,42052,224,0,697949,191,10,5,very_unsat,little,actively_looking_into_it,STAY
9,zero,38171,0,7,274218,190,0,5,very_sat,little,actively_looking_into_it,STAY
10,zero,105824,174,18,153560,687,25,4,very_sat,little,never_thought,LEAVE
11,zero,20120,43,0,623166,209,5,8,very_sat,little,never_thought,STAY
12,one,50939,76,13,587207,336,3,5,avg,little,considering,STAY
13,zero,23553,244,0,926178,158,4,5,very_unsat,very_little,actively_looking_into_it,STAY
15,one,36940,259,0,979303,236,10,8,very_sat,very_high,considering,STAY
16,zero,159902,0,20,213299,516,1,4,very_sat,high,actively_looking_into_it,STAY
18,zero,41513,0,15,214276,167,1,2,very_unsat,very_high,considering,STAY
19,zero,53391,74,69,599957,287,5,2,very_unsat,very_high,no,LEAVE
20,one,52308,0,50,187864,394,27,2,very_unsat,little,considering,STAY
21,zero,129795,0,0,281839,684,0,13,very_unsat,very_little,no,LEAVE
22,one,86658,78,15,150852,296,4,5,very_sat,very_high,never_thought,STAY
23,one,96390,251,14,221453,371,26,4,very_sat,very_little,actively_looking_into_it,LEAVE
24,zero,23322,60,0,281214,302,3,13,unsat,very_high,never_thought,LEAVE
26,one,47502,0,0,507873,199,1,11,avg,very_high,actively_looking_into_it,STAY
27,one,62951,45,10,403085,304,5,5,unsat,very_high,perhaps,STAY
28,zero,42647,164,0,459225,214,12,14,very_unsat,very_high,actively_looking_into_it,STAY
29,one,39654,72,28,951514,225,5,2,unsat,very_little,no,LEAVE
32,zero,43107,55,11,300669,211,5,6,very_sat,very_high,considering,LEAVE
33,zero,80136,0,0,210851,266,1,6,very_sat,little,no,LEAVE
34,zero,20381,0,23,981435,165,0,6,avg,little,considering,STAY
36,zero,158937,0,18,560905,547,29,6,very_sat,high,no,STAY
37,zero,134424,51,0,182350,467,5,13,very_sat,little,considering,LEAVE
38,one,153885,0,18,947313,721,1,6,sat,little,never_thought,STAY
42,zero,149610,186,0,203399,445,15,1,very_unsat,avg,actively_looking_into_it,LEAVE
43,one,75565,0,0,262921,270,0,14,very_unsat,little,considering,LEAVE
45,one,32061,68,55,247138,209,5,2,very_unsat,little,no,STAY
46,one,20548,0,13,618233,247,0,4,sat,very_high,no,STAY
47,one,30775,0,6,643457,136,1,4,avg,little,never_thought,LEAVE
48,one,107959,0,0,617587,616,1,15,sat,very_high,actively_looking_into_it,STAY
50,one,27635,0,0,455968,163,10,14,avg,very_little,considering,LEAVE
51,one,102647,181,18,242728,754,1,6,very_unsat,little,perhaps,STAY
53,zero,79672,198,27,459549,336,26,1,very_unsat,little,actively_looking_into_it,LEAVE
54,zero,73689,0,73,435407,142,0,2,very_sat,very_high,considering,LEAVE
55,one,42585,72,83,477745,142,4,1,very_unsat,little,actively_looking_into_it,STAY
57,zero,78108,196,29,390598,370,18,1,unsat,very_little,considering,LEAVE
58,one,40980,76,18,812104,231,3,11,very_unsat,little,considering,STAY
59,one,54833,69,0,541065,378,4,14,avg,very_little,no,STAY
60,zero,34722,47,42,420046,171,3,6,very_sat,avg,actively_looking_into_it,LEAVE
61,zero,120331,238,27,256742,706,12,1,very_unsat,very_little,actively_looking_into_it,LEAVE
64,zero,81764,206,23,644395,501,1,6,very_unsat,very_little,actively_looking_into_it,STAY
66,one,86891,65,6,907035,382,4,5,avg,little,never_thought,STAY
67,zero,133389,240,71,415379,747,29,1,very_unsat,high,no,LEAVE
68,zero,77412,218,0,489869,277,19,15,very_unsat,very_little,actively_looking_into_it,LEAVE
71,zero,23229,0,64,192175,230,1,1,very_sat,avg,actively_looking_into_it,LEAVE
73,zero,79054,165,12,177411,351,27,4,avg,very_little,actively_looking_into_it,LEAVE
76,one,100800,215,0,188219,859,10,12,sat,avg,never_thought,LEAVE
77,one,24484,55,0,762598,224,5,5,very_unsat,very_high,considering,STAY
78,zero,28916,192,88,723263,245,21,1,sat,little,considering,STAY
81,one,124947,0,11,902765,422,0,6,very_unsat,very_little,no,STAY
82,zero,101746,0,7,223810,748,1,6,very_sat,little,actively_looking_into_it,STAY
83,zero,34845,0,35,382242,203,1,2,very_sat,very_high,considering,LEAVE
84,one,154686,0,9,933975,736,0,4,very_sat,little,perhaps,STAY
85,zero,56065,0,86,702828,250,0,1,very_unsat,very_little,considering,STAY
86,one,87141,0,20,277228,250,1,4,very_unsat,avg,actively_looking_into_it,LEAVE
88,one,124092,94,65,395269,561,3,2,very_unsat,little,considering,STAY
89,zero,101798,0,16,554036,880,1,4,very_unsat,high,actively_looking_into_it,STAY
90,one,151731,74,0,885746,536,26,11,unsat,little,actively_looking_into_it,LEAVE
91,zero,45473,204,15,361403,197,15,5,very_sat,little,no,LEAVE
92,one,39899,0,65,967576,141,1,12,avg,little,no,STAY
93,zero,42459,0,0,783857,192,1,10,very_unsat,very_high,considering,STAY
94,one,38814,0,48,814203,188,1,2,very_sat,little,considering,STAY
95,zero,45870,214,0,201417,159,19,8,sat,little,never_thought,LEAVE
96,zero,76717,0,82,883593,381,0,2,unsat,very_little,perhaps,LEAVE
97,one,50871,232,32,608297,381,18,1,unsat,very_little,actively_looking_into_it,STAY
98,one,113468,0,10,214042,483,0,5,very_sat,very_high,considering,STAY
99,one,129023,45,5,675998,752,4,1,very_sat,very_little,considering,LEAVE
100,one,44986,219,0,977398,235,25,11,avg,little,considering,STAY
101,one,79719,202,79,176013,256,21,5,very_unsat,high,no,LEAVE
102,one,113504,57,24,809188,192,3,5,very_unsat,high,no,STAY
103,one,97754,97,45,937656,286,4,1,very_sat,avg,never_thought,STAY
105,zero,43915,158,15,151890,197,24,5,very_unsat,very_high,perhaps,LEAVE
106,zero,70863,186,9,705316,546,19,5,sat,very_high,no,STAY
107,one,27886,63,63,461456,241,1,2,very_unsat,little,considering,STAY
109,zero,84992,197,8,736073,396,1,4,unsat,very_little,no,STAY
110,zero,63466,67,0,728459,254,4,14,very_sat,little,no,STAY
111,zero,55347,59,0,922404,331,13,15,very_sat,very_little,considering,STAY
112,zero,24146,203,8,276961,332,25,6,very_unsat,little,actively_looking_into_it,LEAVE
113,one,24811,0,59,693081,225,0,2,very_unsat,little,considering,LEAVE
115,zero,116815,211,87,199709,827,23,2,very_sat,very_high,no,LEAVE
116,one,33406,55,0,168170,185,4,14,unsat,little,perhaps,LEAVE
117,one,111935,176,75,932300,555,16,2,very_unsat,little,never_thought,LEAVE
118,one,56005,154,23,270679,206,0,12,very_unsat,very_little,actively_looking_into_it,LEAVE
119,zero,126919,0,11,242869,565,1,6,very_unsat,little,considering,STAY
120,zero,110061,0,25,902824,817,0,1,very_sat,very_high,actively_looking_into_it,LEAVE
121,one,86392,223,0,938183,322,20,11,very_unsat,very_little,actively_looking_into_it,STAY
122,one,45347,56,66,768301,177,4,2,very_sat,very_little,actively_looking_into_it,STAY
123,zero,115403,35,0,617684,719,5,15,very_unsat,very_high,never_thought,LEAVE
124,zero,42787,232,17,169276,347,19,6,avg,little,considering,LEAVE
